"logFC","logCPM","LR","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-7.90800899552652,6.24789544228218,23.6985637599146,1.12666586059862e-06,0.000437796061006392,"14726","Pdpn","podoplanin"
-7.98854023082574,5.99290428837979,23.6508151138885,1.15496978989319e-06,0.000437796061006392,"55987","Cpxm2","carboxypeptidase X, M14 family member 2"
-8.61997273096576,10.5247304312777,23.6394500526637,1.16181105315771e-06,0.000437796061006392,"22004","Tpm2","tropomyosin 2, beta"
-7.95583622109342,7.17812824135517,23.6033597883158,1.18380639843625e-06,0.000437796061006392,"20272","Scn7a","sodium channel, voltage-gated, type VII, alpha"
-10.9472399580637,2.52365148297821,23.5906943408342,1.19162399813011e-06,0.000437796061006392,"497097","Xkr4","X-linked Kx blood group related 4"
-6.99699744978669,5.84493568677308,23.5779129184878,1.19956567231413e-06,0.000437796061006392,"52377","Rcn3","reticulocalbin 3, EF-hand calcium binding domain"
-7.62805607564652,5.61797952627875,23.554916445025,1.21398832783726e-06,0.000437796061006392,"68810","Nexn","nexilin"
-8.73145085080772,5.38886417526916,23.4475301767472,1.28367418899789e-06,0.000437796061006392,"16533","Kcnmb1","potassium large conductance calcium-activated channel, subfamily M, beta member 1"
-7.17888284737098,8.6582419023044,23.4273597140013,1.29720414230992e-06,0.000437796061006392,"12836","Col7a1","collagen, type VII, alpha 1"
-8.54339338235323,10.2844614665455,23.3999232498506,1.31583787202341e-06,0.000437796061006392,"57266","Cxcl14","C-X-C motif chemokine ligand 14"
-7.66888870758137,8.99802087099506,23.3901204821139,1.32256040706844e-06,0.000437796061006392,"12821","Col17a1","collagen, type XVII, alpha 1"
-7.29339140524368,5.11916812495557,23.3809664064783,1.32886918158478e-06,0.000437796061006392,"93960","Nkd1","naked cuticle 1"
-7.03142615109192,5.08053629936215,23.3788100267097,1.33035969504443e-06,0.000437796061006392,"242050","Igsf10","immunoglobulin superfamily, member 10"
-7.51247065258913,6.36748577150707,23.3612410202548,1.3425662366302e-06,0.000437796061006392,"59012","Moxd1","monooxygenase, DBH-like 1"
-8.73160083734676,11.9925335489628,23.3471723526609,1.35242176483254e-06,0.000437796061006392,"17880","Myh11","myosin, heavy polypeptide 11, smooth muscle"
-7.13302854396393,7.52532143243222,23.2999590358779,1.38602957139427e-06,0.000437796061006392,"12560","Cdh3","cadherin 3"
-7.55316637530042,5.30481114950829,23.2099026502516,1.45247468205961e-06,0.000437796061006392,"20583","Snai2","snail family zinc finger 2"
-6.76538096962894,5.44865575106232,23.200420903078,1.45965377746494e-06,0.000437796061006392,"104099","Itga9","integrin alpha 9"
-6.7942513861497,5.61089433628459,23.1483600795538,1.49971049621626e-06,0.000437796061006392,"58250","Chst11","carbohydrate sulfotransferase 11"
-7.3342216951245,5.90941725553702,23.0684534902141,1.56334789641584e-06,0.000437796061006392,"545370","Hmcn1","hemicentin 1"
-7.81786778760433,4.84577979394191,23.0664070589731,1.56501276054215e-06,0.000437796061006392,"58178","Sorcs1","sortilin-related VPS10 domain containing receptor 1"
-8.36890715981254,9.81917315993241,23.0273955805719,1.59709263726699e-06,0.000437796061006392,"98932","Myl9","myosin, light polypeptide 9, regulatory"
-7.18299785915213,8.55721644799729,23.0201533975985,1.60312020986804e-06,0.000437796061006392,"13388","Dll1","delta like canonical Notch ligand 1"
-7.23507573090789,6.12316579493633,22.9869731898409,1.63102872626159e-06,0.000437796061006392,"22240","Dpysl3","dihydropyrimidinase-like 3"
-8.24703683418934,6.08525971790268,22.9818908226663,1.63534643505307e-06,0.000437796061006392,"59091","Jph2","junctophilin 2"
-6.48640738896558,5.86700445228552,22.9360057636539,1.67485065559009e-06,0.000437796061006392,"94214","Spock2","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2"
-8.91657035129116,7.90361214826916,22.9338784505793,1.67670518307202e-06,0.000437796061006392,"11468","Actg2","actin, gamma 2, smooth muscle, enteric"
-7.9723884707448,4.04551792828373,22.9119110349499,1.69597658640058e-06,0.000437796061006392,"67516","Kctd4","potassium channel tetramerisation domain containing 4"
-8.737409117194,5.02429178187056,22.9062249880752,1.7010008919063e-06,0.000437796061006392,"109205","Sobp","sine oculis binding protein"
